Package	Version	LibPath	Priority
igraph	2.3.3	/home/phili/.local/lib/R/site-library	NA
ini	0.3.1	/home/phili/.local/lib/R/site-library	NA
INLA	25.10.19	/home/phili/.local/lib/R/site-library	NA
inlabru	2.15.0	/home/phili/.local/lib/R/site-library	NA
INLAspacetime	0.1.14	/home/phili/.local/lib/R/site-library	NA
INLAtools	0.1.5	/home/phili/.local/lib/R/site-library	NA
intervals	0.15.5	/home/phili/.local/lib/R/site-library	NA
isoband	0.3.0	/home/phili/.local/lib/R/site-library	NA
iterators	1.0.14	/home/phili/.local/lib/R/site-library	NA
jquerylib	0.1.4	/home/phili/.local/lib/R/site-library	NA
jsonify	1.2.3	/home/phili/.local/lib/R/site-library	NA
jsonlite	2.0.0	/home/phili/.local/lib/R/site-library	NA
KernSmooth	2.23-27	/home/phili/.local/lib/R/site-library	recommended
KFAS	1.6.0	/home/phili/.local/lib/R/site-library	NA
knitr	1.52	/home/phili/.local/lib/R/site-library	NA
labeling	0.4.3	/home/phili/.local/lib/R/site-library	NA
languageserver	0.3.18	/home/phili/.local/lib/R/site-library	NA
later	1.4.8	/home/phili/.local/lib/R/site-library	NA
lattice	0.23-1	/home/phili/.local/lib/R/site-library	recommended
LatticeKrig	9.4.1	/home/phili/.local/lib/R/site-library	NA
lazyeval	0.2.3	/home/phili/.local/lib/R/site-library	NA
leafem	0.2.5	/home/phili/.local/lib/R/site-library	NA
leafgl	0.2.4	/home/phili/.local/lib/R/site-library	NA
leaflegend	1.2.8	/home/phili/.local/lib/R/site-library	NA
leaflet	2.2.3	/home/phili/.local/lib/R/site-library	NA
leaflet.providers	3.0.0	/home/phili/.local/lib/R/site-library	NA
leafsync	0.1.0	/home/phili/.local/lib/R/site-library	NA
lifecycle	1.0.5	/home/phili/.local/lib/R/site-library	NA
linprog	0.9-6	/home/phili/.local/lib/R/site-library	NA
lintr	3.4.0	/home/phili/.local/lib/R/site-library	NA
litedown	0.11	/home/phili/.local/lib/R/site-library	NA
lme4	2.0-6	/home/phili/.local/lib/R/site-library	NA
lmtest	0.9-40	/home/phili/.local/lib/R/site-library	NA
logger	0.4.3	/home/phili/.local/lib/R/site-library	NA
lpSolve	5.6.23	/home/phili/.local/lib/R/site-library	NA
lubridate	1.9.5	/home/phili/.local/lib/R/site-library	NA
lwgeom	0.2-16	/home/phili/.local/lib/R/site-library	NA
magic	1.6-1	/home/phili/.local/lib/R/site-library	NA
magrittr	2.0.5	/home/phili/.local/lib/R/site-library	NA
maps	3.4.3	/home/phili/.local/lib/R/site-library	NA
maptiles	0.11.0	/home/phili/.local/lib/R/site-library	NA
markdown	2.0	/home/phili/.local/lib/R/site-library	NA
MatrixModels	0.5-4	/home/phili/.local/lib/R/site-library	NA
matrixStats	1.5.0	/home/phili/.local/lib/R/site-library	NA
memoise	2.0.1	/home/phili/.local/lib/R/site-library	NA
MetricGraph	1.6.0	/home/phili/.local/lib/R/site-library	NA
microbenchmark	1.5.0	/home/phili/.local/lib/R/site-library	NA
mime	0.13	/home/phili/.local/lib/R/site-library	NA
minqa	1.2.8	/home/phili/.local/lib/R/site-library	NA
mnormt	2.1.2	/home/phili/.local/lib/R/site-library	NA
modelr	0.1.11	/home/phili/.local/lib/R/site-library	NA
mvtnorm	1.4-2	/home/phili/.local/lib/R/site-library	NA
nanoarrow	0.9.0	/home/phili/.local/lib/R/site-library	NA
nlme	3.1-171	/home/phili/.local/lib/R/site-library	recommended
nloptr	2.2.1	/home/phili/.local/lib/R/site-library	NA
nnet	7.3-21	/home/phili/.local/lib/R/site-library	recommended
numDeriv	2016.8-1.1	/home/phili/.local/lib/R/site-library	NA
odbc	1.7.0	/home/phili/.local/lib/R/site-library	NA
openssl	2.4.2	/home/phili/.local/lib/R/site-library	NA
optimParallel	1.0-3	/home/phili/.local/lib/R/site-library	NA
otel	0.2.0	/home/phili/.local/lib/R/site-library	NA
pak	0.11.1	/home/phili/.local/lib/R/site-library	NA
patchwork	1.3.2	/home/phili/.local/lib/R/site-library	NA
pbapply	1.7-5	/home/phili/.local/lib/R/site-library	NA
pbkrtest	0.5.5	/home/phili/.local/lib/R/site-library	NA
pillar	1.11.1	/home/phili/.local/lib/R/site-library	NA
pixmap	0.4-14	/home/phili/.local/lib/R/site-library	NA
pkgbuild	1.4.8	/home/phili/.local/lib/R/site-library	NA
pkgconfig	2.0.3	/home/phili/.local/lib/R/site-library	NA
pkgload	1.5.3	/home/phili/.local/lib/R/site-library	NA
plyr	1.8.9	/home/phili/.local/lib/R/site-library	NA
png	0.1-9	/home/phili/.local/lib/R/site-library	NA
polyclip	1.10-7	/home/phili/.local/lib/R/site-library	NA
polynom	1.4-1	/home/phili/.local/lib/R/site-library	NA
pool	1.0.5	/home/phili/.local/lib/R/site-library	NA
pracma	2.4.6	/home/phili/.local/lib/R/site-library	NA
praise	1.0.0	/home/phili/.local/lib/R/site-library	NA
prettyunits	1.2.0	/home/phili/.local/lib/R/site-library	NA
pROC	1.19.0.1	/home/phili/.local/lib/R/site-library	NA
processx	3.9.0	/home/phili/.local/lib/R/site-library	NA
progress	1.2.3	/home/phili/.local/lib/R/site-library	NA
promises	1.5.0	/home/phili/.local/lib/R/site-library	NA
proxy	0.4-29	/home/phili/.local/lib/R/site-library	NA
ps	1.9.3	/home/phili/.local/lib/R/site-library	NA
purrr	1.2.2	/home/phili/.local/lib/R/site-library	NA
quantreg	6.1	/home/phili/.local/lib/R/site-library	NA
R.cache	0.17.0	/home/phili/.local/lib/R/site-library	NA
R.methodsS3	1.8.2	/home/phili/.local/lib/R/site-library	NA
R.oo	1.27.1	/home/phili/.local/lib/R/site-library	NA
R.utils	2.13.0	/home/phili/.local/lib/R/site-library	NA
R6	2.6.1	/home/phili/.local/lib/R/site-library	NA
RANN	2.6.3	/home/phili/.local/lib/R/site-library	NA
rapidjsonr	1.2.1	/home/phili/.local/lib/R/site-library	NA
rappdirs	0.3.4	/home/phili/.local/lib/R/site-library	NA
raster	3.6-32	/home/phili/.local/lib/R/site-library	NA
rbibutils	2.4.1	/home/phili/.local/lib/R/site-library	NA
rcmdcheck	1.4.0	/home/phili/.local/lib/R/site-library	NA
RColorBrewer	1.1-3	/home/phili/.local/lib/R/site-library	NA
Rcpp	1.1.2	/home/phili/.local/lib/R/site-library	NA
RcppArmadillo	15.4.2-1	/home/phili/.local/lib/R/site-library	NA
RcppEigen	0.3.4.0.2	/home/phili/.local/lib/R/site-library	NA
RcppProgress	0.4.2	/home/phili/.local/lib/R/site-library	NA
Rdpack	2.6.6	/home/phili/.local/lib/R/site-library	NA
rdtools	0.1.0	/home/phili/.local/lib/R/site-library	NA
reformulas	0.4.4	/home/phili/.local/lib/R/site-library	NA
reshape2	1.4.5	/home/phili/.local/lib/R/site-library	NA
rex	1.2.2	/home/phili/.local/lib/R/site-library	NA
rgl	1.3.36	/home/phili/.local/lib/R/site-library	NA
rlang	1.3.0	/home/phili/.local/lib/R/site-library	NA
rmarkdown	2.32	/home/phili/.local/lib/R/site-library	NA
rnaturalearth	1.2.0	/home/phili/.local/lib/R/site-library	NA
rnaturalearthdata	1.0.0	/home/phili/.local/lib/R/site-library	NA
robustbase	0.99-7	/home/phili/.local/lib/R/site-library	NA
roxygen2	8.1.0	/home/phili/.local/lib/R/site-library	NA
rpart	4.1.27	/home/phili/.local/lib/R/site-library	recommended
RPostgres	1.4.10	/home/phili/.local/lib/R/site-library	NA
RPostgreSQL	0.7-8	/home/phili/.local/lib/R/site-library	NA
