Package	Version	LibPath	Priority
covr	3.6.5	/home/phili/.local/lib/R/site-library	NA
cowplot	1.2.0	/home/phili/.local/lib/R/site-library	NA
cpp11	0.5.5	/home/phili/.local/lib/R/site-library	NA
crayon	1.5.3	/home/phili/.local/lib/R/site-library	NA
credentials	2.0.3	/home/phili/R/library	NA
crosstalk	1.2.2	/home/phili/.local/lib/R/site-library	NA
curl	8.0.0	/home/phili/.local/lib/R/site-library	NA
data.table	1.18.6.1	/home/phili/.local/lib/R/site-library	NA
datasets	4.6.1	/usr/lib/R/library	base
DBI	1.3.0	/home/phili/.local/lib/R/site-library	NA
deldir	2.0-4	/home/phili/.local/lib/R/site-library	NA
DEoptimR	1.2-1	/home/phili/.local/lib/R/site-library	NA
Deriv	4.3.5	/home/phili/.local/lib/R/site-library	NA
desc	1.4.3	/home/phili/.local/lib/R/site-library	NA
devtools	2.5.2	/home/phili/R/library	NA
dfidx	0.2-0	/home/phili/.local/lib/R/site-library	NA
diffobj	0.3.8	/home/phili/.local/lib/R/site-library	NA
diffviewer	0.1.2	/home/phili/R/library	NA
digest	0.6.39	/home/phili/.local/lib/R/site-library	NA
distributional	0.8.1	/home/phili/R/library	NA
DistributionUtils	0.6-2	/home/phili/.local/lib/R/site-library	NA
doBy	4.7.2	/home/phili/.local/lib/R/site-library	NA
doParallel	1.0.17	/home/phili/.local/lib/R/site-library	NA
dotCall64	1.2	/home/phili/.local/lib/R/site-library	NA
downlit	0.4.5	/home/phili/R/library	NA
DOYPAColors	0.0.2	/home/phili/.local/lib/R/site-library	NA
dplyr	1.2.1	/home/phili/.local/lib/R/site-library	NA
DT	0.34.0	/home/phili/R/library	NA
dtw	1.23-2	/home/phili/R/library	NA
e1071	1.7-17	/home/phili/.local/lib/R/site-library	NA
Ecdat	0.4.7	/home/phili/.local/lib/R/site-library	NA
EigenR	1.3.0	/home/phili/R/library	NA
ellipsis	0.3.3	/home/phili/.local/lib/R/site-library	NA
ergm	4.12.0	/home/phili/R/library	NA
evaluate	1.0.5	/home/phili/.local/lib/R/site-library	NA
evd	2.3-7.1	/home/phili/.local/lib/R/site-library	NA
expm	1.0-1	/home/phili/.local/lib/R/site-library	NA
fansi	1.0.7	/home/phili/.local/lib/R/site-library	NA
farver	2.1.2	/home/phili/.local/lib/R/site-library	NA
fasjem	1.2.0	/home/phili/R/library	NA
fastGHQuad	1.0.1	/home/phili/.local/lib/R/site-library	NA
fastmap	1.2.0	/home/phili/.local/lib/R/site-library	NA
fdrtool	1.2.18	/home/phili/R/library	NA
fftw	1.0-9	/home/phili/R/library	NA
fftwtools	0.9-11	/home/phili/.local/lib/R/site-library	NA
fields	17.3	/home/phili/.local/lib/R/site-library	NA
flare	1.8	/home/phili/R/library	NA
fmesher	0.8.0	/home/phili/.local/lib/R/site-library	NA
FNN	1.1.4.1	/home/phili/.local/lib/R/site-library	NA
foghorn	1.6.1	/home/phili/R/library	NA
fontawesome	0.5.3	/home/phili/.local/lib/R/site-library	NA
forcats	1.0.1	/home/phili/R/library	NA
foreach	1.5.2	/home/phili/.local/lib/R/site-library	NA
forecast	9.0.2	/home/phili/.local/lib/R/site-library	NA
foreign	0.8-91	/home/phili/.local/lib/R/site-library	recommended
Formula	1.2-6	/home/phili/.local/lib/R/site-library	NA
fracdiff	1.5-4	/home/phili/.local/lib/R/site-library	NA
FRK	2.3.2	/home/phili/.local/lib/R/site-library	NA
fs	2.1.0	/home/phili/.local/lib/R/site-library	NA
future	1.70.0	/home/phili/R/library	NA
future.apply	1.20.2	/home/phili/R/library	NA
gelnet	1.2.1	/home/phili/R/library	NA
GeneralizedHyperbolic	0.8-7	/home/phili/.local/lib/R/site-library	NA
generics	0.1.4	/home/phili/.local/lib/R/site-library	NA
geojsonsf	2.0.5	/home/phili/.local/lib/R/site-library	NA
